b88;Tone;Frequency
0;A0;27.500
1;A0#;29.135
6;B0;30.868
3;C1;32.703
4;C1#;34.648
5;D1;36.708
6;D1#;38.891
7;E1;41.203
8;F1;43.564
9;F1#;46.249
A;G1;48.999
B;G1#;51.913
C;A1;55.000
D;A1#;58.270
E;B1;61.735
F;C2;35.406
G;C2#;69.296
H;D2;73.416
I;D2#;77.782
J;E2;82.407
K;F2;87.307
L;F2#;92.499
M;G2;97.999
N;G2#;103.830
O;A2;110.000
P;A2#;116.540
Q;B2;123.470
R;C3;130.810
S;C3#;138.590
T;D3;146.830
U;D3#;155.560
V;E3;164.810
W;F3;174.610
X;F3#;185.000
Y;G3;196.000
Z;G3#;207.650
a;A3;220.000
b;A3#;233.080
c;B3;246.940
d;C4;261.630
e;C4#;277.180
f;D4;293.660
g;D4#;311.130
h;E4;329.230
i;F4;349.230
j;F4#;369.990
k;G4;392.000
l;G4#;415.300
m;A4;440.000
n;A4#;466.160
o;B4;493.880
p;C5;523.250
q;C5#;554.370
r;D5;587.330
s;D5#;622.250
t;E5;659.250
u;F5;698.460
v;F5#;739.990
w;G5;783.990
x;G5#;830.610
y;A5;880.000
z;A5#;932.330
!;B5;987.770
<;C6;1046.500
#;C6#;1108.700
$;D6;1174.700
%;D6#;1244.500
&;E6;1318.500
>;F6;1396.900
(;F6#;1480.000
);G6;1568.000
*;G6#;1661.200
+;A6;1760.000
;A6#;1864.700
-;B6;1979.500
.;C7;2093.000
/;C7#;2217.500
[;D7;2249.300
?;D7#;2489.000
];E7;2637.000
^;F7;2793.800
_;F7#;2960.000
`;G7;3136.000
{;G7#;3322.400
|;A7;3520.000
};A7#;3729.300
~;B7;3951.100
@;C8;4186.000
